Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Adrianna Glorioso,11271,636,21631,728,774
Jake Cowgill,510,774,2047,533,688
Benita Lake,1485,1784,2627,1766,883
Eilene Wilding,217,820,206,820,998
Machelle Teets,854,2179,728,2133,458
Ouida Walberg,2185,1479,349,1388,539
Fermina Sydow,2770,2673,579,2661,665
Darell Twine,321,395,395,424,636
Chasidy Foskey,1089,2311,2455,1973,1193
Jessica Larocco,642,481,969,504,154
Jonas Kintzel,728,912,1015,963,240
Dionne Tiedemann,797,240,367,200,269
Senaida Halbert,912,785,332,803,195
Glynda Shamburger,998,458,332,476,246
Manda Stallcup,1061,1038,355,1072,235
Edwin Hammel,240,223,378,229,281
Rosario Dafoe,246,659,717,648,332
Sanda Eklund,304,395,1531,401,286
Chris Bilby,390,912,952,900,298
Lia Darst,522,286,837,286,258
Otto Julia,544,808,849,831,269
Estella Kenison,631,355,912,372,263
Sulema Muniz,453,923,252,1038,252
Babara Galindo,866,367,1141,407,200
Lincoln Clem,986,694,1049,671,281
Aracelis Barrentine,963,137,579,126,212
Diane Corliss,889,814,602,894,286
Mercy Prasad,1032,315,642,304,286
Ira Chattin,1084,751,659,699,481
Renate Guimond,1032,573,636,556,281
Eddy Omarah,1107,923,734,969,321
Darcey Gerson,177,229,372,258,309
Manie Blandon,172,676,774,711,309
Lin Dougal,252,453,803,424,303
Francisca Neill,154,871,223,866,275
Antony Lis,361,97,435,108,263
Lisha Gaspar,304,803,447,820,304
Pasquale Vizcarrondo,120,487,80,522,286
Yelena Blomberg,390,1009,768,952,258
Vivan Mertz,447,217,464,200,286
James Sigman,585,642,286,682,246
Latrina Koziol,516,447,458,487,281
Lyla Bicknell,579,946,895,1296,326
Theodore Merrihew,608,338,487,321,303
Lyndon Speno,447,1927,177,871,395
Jeane Alpers,659,533,986,585,258
Micheal Rea,676,1089,510,1089,315
Brigid Amy,837,172,1003,154,292
Chiquita Mccune,780,883,315,636,344
Camie Durand,877,338,550,315,292
