Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Rosette Zepeda,2443,23105,739,22142,13640
Lino Sinkfield,7847,4130,9688,3344,871
Margarita Wehr,9115,7078,1428,6912,8484
Olga Paschke,1124,1434,883,1675,212
Perla Rudd,2546,2741,1021,3367,183
Brandie Lara,4652,18534,5191,3384,206
Skye Mari,8908,4210,1342,4204,160
Lawanna Parkinson,493,1588,1594,1606,177
Luanne Frances,1606,3045,10027,3120,172
Jacob Correa,2128,292,4009,303,229
Roxane Wolfe,149,4726,137,4640,183
Hoyt Weyant,6717,1365,395,1256,298
Eleonor Beecroft,6447,39127,5283,6625,418
Mickey Call,4439,2449,2632,2437,235
Myesha Duhaime,5133,4531,3086,4772,304
Hedy Aye,275,2294,2908,2317,304
Eartha Eaton,837,2254,3344,2759,298
Miyoko Augsburger,573,940,3418,1789,298
Hilda Swearengin,349,2707,849,6837,384
Mikel Alvino,1015,481,3763,952,390
Ceola Steidl,1663,1600,625,1571,602
Sal Ishee,1583,1187,8306,3275,246
Leland Lachance,1525,2552,2214,2552,258
Whitley Goulet,1669,298,2220,315,172
Bettyann Bone,1869,734,2409,745,166
Brook Merrick,2632,470,694,441,401
Valery Mackenzie,2265,2455,653,2294,223
Alice Knowles,2397,1996,1439,1990,229
Sanford Sagar,2248,1852,722,1795,327
Chau Orduno,3436,877,872,843,430
Cleotilde Littler,4571,5386,860,4388,602
Buddy Purdom,441,269,464,355,1112
Carly Doyon,263,1525,1743,2019,820
Ethyl Dunklin,361,877,1646,1543,344
Tina Rosebrock,223,2139,407,2053,246
Jefferey Mcie,636,516,1806,458,372
Lorean Sharkey,539,1933,258,1875,252
Margert Choquette,728,1026,1921,1072,292
Kari Herren,797,2673,1847,2380,917
Joann Atkins,992,338,1996,355,332
Alene Prentiss,889,1979,522,1967,258
Bridget Rickman,1078,1221,539,1216,476
Shakira Hakim,1227,2265,2047,2231,269
Irmgard Delagarza,1267,653,2053,716,269
Amina Sangster,1571,1342,1135,1348,269
Avelina Skidmore,1284,711,309,751,298
Abel Meadows,1617,57,2403,63,315
Twila Wess,2174,258,321,223,326
Dino Brabant,3963,2833,2438,1720,481
Elia Reuther,1892,826,1210,860,441
Glynda Ruth,1806,2133,591,2116,390
Loris Chesson,2036,533,1279,539,315
Kandi Iacovelli,1933,1761,390,1726,378
Shirlee Moffatt,2122,1164,435,1170,326
Maryln Malcolm,2162,2466,1348,2512,327
Shavon Goodwyn,2260,367,1399,390,384
Luanne Valls,8592,5340,929,6998,275
Rose Fouts,4669,1881,3677,1967,304
Arleen Rosecrans,4394,4204,1399,4187,321
Cristy Mock,4720,946,4393,917,464
Dreama Cobey,320252,6149,3694,18247,5799
Margaret Strouth,7577,2575,768,2535,269
Gala Atencio,4829,4852,2839,4950,441
Clifford Parent,292,183,1611,166,539
Beryl Kraker,304,3550,3091,2977,309
Florene Yamashiro,108,2655,109,1508,447
