Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Nikhil Lowery,1111346,172777,193680,176793,13836
Megan Cohen,5827,237741,156756,236605,3923
Valentino Marsh,64998,106907,219631,97660,2816
Roland Walker,55045,521,15522,596,1393
Esther Boyd,16182,56313,64619,48592,1078
Jaden Barron,34830,2386,59439,2460,510
Dillan Curry,48592,6177,40808,6229,625
Dominik Melton,25658,44714,71382,32628,780
Jaylee Herring,10170,45597,24947,44731,676
Arnav Mullins,19962,50439,32289,53353,613
Sofia Spears,18258,49567,6424,48466,493
June Ellison,39310,9992,38060,9023,630
August Reese,42270,63873,21494,58596,831
Thaddeus Vance,34245,22193,3992,21591,533
Abel Khan,52475,65864,25635,67780,820
Billy Frye,1158,27631,49062,32393,780
Hudson Benton,4416,30218,44427,29926,504
Kolton Schultz,8053,13772,13572,13721,590
Carson Pennington,10669,39918,29106,39959,705
Oscar Morrison,25784,6608,66609,7296,544
Blake Brown,26071,27327,56800,26530,797
Jamir Mooney,31033,21293,16646,21987,522
Sophia Howard,35920,43401,80497,41725,1193
Miriam Barr,40515,3728,75707,3602,476
Emiliano Blake,45093,26691,74181,24866,791
Karsyn Pham,49980,14025,10629,17530,877
Isla Foster,45838,39328,21958,42660,648
Leroy Tyler,59336,8982,11071,9642,952
Paul Moran,46974,33173,18207,32358,699
Arely Atkinson,52332,12619,40561,12717,573
Lyric Harmon,54127,44100,41955,42305,694
Carmelo Krause,7015,4881,34469,16692,768
Ashlee Butler,2575,43854,81323,39924,3499
Isabella Wu,27826,16394,1904,15430,487
Ignacio Salazar,6155,39655,52487,41123,860
Damaris Stanley,4491,9057,20788,8965,539
Jamison Krueger,13508,33649,49567,32008,625
Bryson Gamble,17134,21258,48167,21017,688
Bennett Nelson,19337,51397,51569,49435,751
Caden Yates,31216,7417,986,7325,671
Paige Roberts,21132,25543,13858,25320,3659
Hassan King,27299,12161,53709,11988,413
Ayla Farrell,28693,42884,58917,43659,877
Dayton Camacho,29530,12235,58544,11139,717
Clarence Mcintyre,42356,48775,43859,40899,1072
Craig Molina,41599,20163,65927,23811,1210
Monserrat Garner,40240,63690,66432,55854,860
Derick David,43842,1273,68933,1256,1078
Hayden Kim,41479,25922,65376,24436,883
Clayton Cole,51357,17799,40125,19514,1307
Duncan Davenport,47433,48144,38674,40096,952
Keshawn Stein,54242,9688,11879,8449,992
Giana Dominguez,40808,30723,18178,30218,567
Roselyn Finley,43578,20191,37228,18425,510
Julio Walsh,45093,55062,4336,49022,762
Gaven Roy,51098,6734,10009,4565,602
Johnathon Nash,49980,33396,21379,28538,676
Maritza Elliott,49710,16532,40418,15763,911
Josephine Kaufman,61693,47955,50055,55705,1594
Iliana Munoz,53072,9459,10887,9734,722
Leandro Dodson,57013,38961,22193,36052,797
Jordyn Shields,147113,27998,13623,24947,1319
Cristopher Macias,112110,83245,34033,71904,1875
Memphis Black,522,1583,92297,1686,768
Frida Vazquez,14088,23840,14403,31417,602
Harper Steele,1485,12746,7095,12677,648
Vivian Ferguson,3481,46498,66414,41358,722
Savanna Shaw,4497,6246,26972,6550,464
Rocco Daniel,9642,31234,60758,34159,613
Dulce Bates,5208,16503,46051,16371,567
Karina Crawford,6631,48586,49716,48391,768
Zachariah Carrillo,7279,2776,52676,2770,424
Helena Howell,9034,28595,24723,28044,533
Boston Blair,8495,12952,49733,13589,688
Shannon Harding,10055,40899,48620,41209,602
Jasmin Mcintosh,15447,9246,30230,9654,774
Charlee Little,13394,38324,55722,37865,739
Ahmed Rhodes,13004,21138,26289,22664,453
Cameron Wade,2271,53101,5902,50691,843
Jovan Barton,17381,1726,63684,1967,803
Carl Burch,14535,27218,54575,27476,825
Atticus Whitaker,16285,13870,1858,14094,464
Yusuf Copeland,16606,37882,27769,38433,453
Richard Thornton,21534,6958,15195,7554,579
Tristan Ferrell,18723,31354,54930,29989,499
Chanel Villa,22635,17593,14679,17122,849
Donte Davies,21826,47536,61923,49137,791
Jewel Conner,27735,4468,64372,4996,1152
Darius Mercado,25629,29117,61137,27253,848
Aniya Crane,27993,17105,35112,17449,642
Jaylene Ruiz,32570,50496,18883,53175,1066
Brendan Reed,30098,7738,19664,12241,1405
Livia Reid,51833,50961,45207,38238,1313
Gavyn Barker,30276,21826,66007,21878,791
Faith James,33649,54942,65480,53990,946
Elian Ortega,41995,1221,17122,1640,596
Zain Hinton,36213,23937,34371,23455,590
Essence Foley,40228,11965,81799,16027,826
Naima Henson,35467,42850,65342,41725,975
Joselyn Bowen,42672,7893,36609,9493,1153
Eve Welch,34916,32174,8971,32846,619
Roy Sparks,52705,19526,5306,18952,740
Emmy Powers,39115,46550,9166,44318,757
Tommy Weiss,44588,3740,2460,4095,602
Gabrielle Goodwin,39551,27494,40458,25589,803
Makhi Lyons,43854,14988,36511,15987,911
Kendra Oconnor,42477,42523,8948,41307,699
Spencer Ewing,40825,9166,34922,8690,522
Darrell Bauer,51517,36351,37486,37222,1061
Kendrick Contreras,46292,21809,39310,21344,745
Kinsley Woods,34710,50640,4279,49653,740
Taliyah Richards,53410,2300,10147,2334,619
Karla Velez,60867,27396,5265,27700,929
Adolfo Martinez,50318,13617,20312,13755,636
Lance Eaton,48030,39224,38375,39655,768
Dillon Mason,49056,5782,18878,5633,464
Maribel Waller,52274,33763,5133,33809,1055
Christopher Glenn,53192,18534,40624,20140,780
Rayan Vaughan,48930,47135,6275,49326,619
Siena Mckinney,52447,5569,22268,4996,613
Hamza Aguilar,73568,45460,55624,32375,1170
Madelynn Floyd,54185,15895,42276,16130,935
Kaylee Maldonado,57976,45947,24585,49900,1084
Lilyana Baldwin,61258,11420,46750,10698,992
Annabella Gaines,68359,63305,51391,65560,1158
Rylee Hogan,56554,23639,46779,22061,4411
Janae Moss,54913,54672,21585,52711,740
Jaydin Lucero,1910,590,22027,556,602
Teagan Harrington,728,25492,60156,26702,889
Aniyah Lutz,1715,14025,23168,14868,739
Nina Oliver,1382,43435,61917,44984,613
Ariella Duran,2638,5770,53852,7336,636
Xzavier Meyer,2248,40492,53554,38961,671
Hezekiah Horn,3808,17340,54110,17707,1181
Amina Wallace,13480,27310,13738,28933,768
Amira Taylor,6051,1824,13245,1755,642
Catalina Shepard,5598,37607,37601,38358,1273
Muhammad Bullock,4663,13835,48947,14317,671
Sullivan Huynh,6482,54460,76281,44421,1124
Colby Buck,6504,13497,65502,9797,1692
Kason Dillon,6424,36431,79935,42695,1393
Ethen Bell,19245,27190,59944,24230,3327
Krystal Cooke,7635,60575,61103,57334,1147
Erica Daniels,7663,2736,53244,4589,739
Aurora Herman,8965,29651,27643,35324,762
Larry Kline,9172,13537,25056,14621,808
Dania Valdez,10858,52842,4600,50508,1130
Beatrice Solis,8782,16807,12849,9843,740
Roberto Castaneda,9935,38943,28750,32341,785
Emanuel Hayden,11495,20272,57976,20593,757
Haley Baker,11145,61693,61126,60873,1221
Evan Mcknight,12533,4336,56737,4623,803
Lilliana Becker,18402,36305,65072,30999,1199
Emery Henry,14283,17966,68256,25629,1153
Rayne Sosa,11266,48116,7606,43957,940
Dorian Valenzuela,12419,10480,13331,10158,797
Fletcher Glass,18947,39804,63512,39029,1307
Jolie West,12941,26908,8598,24195,929
Fatima Quinn,14965,55974,29220,56232,1015
Trenton Rosales,15516,1118,34630,1043,1204
James Brennan,16990,26874,66833,27706,1170
Jett Sullivan,19624,12476,15625,12901,975
Hector Nguyen,24786,50135,34664,42167,1061
Zachary York,25991,6464,2288,6401,613
