Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Wendy Garcia,28280,2214,155568,2042,11937
Malachi Henson,64544,68537,81484,72587,1210
Alisa Sweeney,108542,58556,13509,122125,1761
Jordan Moss,44703,41289,38243,36465,814
Nikhil Stewart,40934,43945,6648,40068,315
Addyson Rowe,94832,100402,31486,101274,734
Crystal Graves,138600,116745,218318,189808,860
Ayanna Sharp,9258,12195,21029,10090,556
Annabelle Lambert,4382,14925,23983,16985,349
Natalie Harris,7440,7136,20937,7256,229
Madyson Lester,11455,24712,27035,24316,1003
Marquise Mccann,18465,5443,7876,4858,372
Rubi Zavala,13463,16641,177,17019,292
Karma Hunter,19187,12895,10428,14002,395
Jabari Hardy,23289,26622,17897,25549,504
Jolie Conley,304,2426,18086,2655,407
Armani Hickman,797,15935,11197,15700,539
Macy Fletcher,4130,7778,10606,7830,550
Kathy Blankenship,6378,26312,23249,24539,487
Tessa Pope,13876,3487,6791,3086,338
Nathaly Krause,9591,20254,23530,20306,441
Parker Zamora,7078,10480,286,9464,350
Tiana Prince,10807,25394,6516,25113,447
Jayvon Mullins,17249,917,3992,808,590
Abby Phillips,15826,6992,7313,6258,292
Marc Kaiser,18620,7302,7663,8013,390
Timothy Walton,19939,16600,636,17415,510
Makai Mccarthy,24040,3080,9034,3671,768
Moises Carlson,22824,13520,18488,16933,413
Kaelyn Dunn,25864,10136,18499,10055,435
Mia Ho,25790,29157,22537,20730,613
Ethan Drake,1479,1198,11575,1170,390
Allyson Huff,2168,15338,10646,15608,1348
Kaliyah Hansen,3631,7663,8644,23822,671
Mercedes Pham,671,23570,4474,21987,533
Cornelius Yoder,3304,5489,367,5076,499
Hassan Davis,4445,21189,21121,20306,533
Kaylee Schaefer,6476,11897,2753,11897,510
Barbara Gillespie,5971,24757,20140,26140,573
Franco Briggs,6562,2759,19377,2891,470
Brayden Kline,6436,16428,10933,15373,671
Shyann Massey,8472,8593,11386,8443,367
Mohamed Mcconnell,8707,26685,12281,24964,527
Brooke Acosta,10032,5042,21821,5191,1038
Deja Wilson,6246,19101,1520,19268,412
Jasmin Meadows,11271,12275,23214,12258,797
Broderick Rangel,11552,27637,6361,28245,504
Ryker Munoz,12700,1153,13457,1130,390
Leon Yates,14065,15149,544,14960,447
Kareem Mays,13543,7250,6832,6791,413
Thaddeus Fields,13841,22417,6969,23392,424
Ashly Tapia,17495,740,4176,642,453
Cyrus Hawkins,15987,17937,14248,17478,447
Celia Barnes,16451,10548,15034,10388,447
Dexter Baxter,16681,24580,16061,25004,430
Kendall Lowery,17478,3189,15264,3120,441
Elliott Cantu,18143,16755,15258,16893,745
Jaylyn Camacho,18958,10233,16732,10153,487
Carmelo Hutchinson,19279,21103,15769,21230,567
Zoe Dillon,19641,6092,15826,5925,217
Pierre Ward,19474,19514,2311,19675,344
Harmony Kelly,19887,10434,16239,9935,418
Nathalie Mcclure,18866,25744,8288,25910,413
