Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Isabela Patton,20490,49280,17604,30041,13726
Dane Alvarado,768,11776,28905,12120,1204
Myles Mosley,24000,30092,13256,33723,814
Jaqueline Stout,36936,3872,3407,3091,894
Yesenia Mcmillan,14059,15803,13612,17931,309
Daniela Webster,9539,3005,476,1135,223
Steve Chapman,37905,39356,12522,14317,344
Alvaro Rogers,1588,15000,2598,8787,200
Raina Woods,32892,17908,378,9826,499
Rylee Camacho,9636,9832,12562,4371,338
Glenn Shepard,12516,26702,6734,16142,550
Kaia Wiggins,13606,3286,1893,3608,275
Skylar Lowe,14117,13216,8598,11346,1164
Jamarion Kennedy,16727,7778,4313,7646,384
Aisha Vega,13778,14300,998,14048,281
Nyla Mcknight,527,407,2047,424,344
Hadassah Fisher,1216,5776,7772,5478,344
Dakota Roberson,2156,2024,3774,1996,252
Anabella Crosby,2598,9373,4130,8518,292
Kasen Rivera,3894,1720,5048,1732,269
Tania Mills,4250,6183,4371,6028,326
Leo Robles,5300,3717,2363,3556,252
Justus Schmidt,4577,8633,2363,8707,304
Yadira Acevedo,5977,831,9453,849,372
Brody Herman,6711,5690,5048,5661,355
Kaitlynn Leach,7113,3229,5351,3137,315
Miracle Norton,7761,8237,2810,7967,378
Destiny Blackwell,8661,2489,6137,2529,516
Jagger Ho,9080,8587,6665,7537,378
Ramon Hardy,8627,4365,3103,4600,390
Raquel Jimenez,9189,10715,6321,10956,1170
Van Perry,986,218,3424,206,378
Aliyah Lucero,544,9568,3648,9413,321
Summer Walker,206,2793,539,2833,458
Moshe Buck,1571,9740,8805,8099,504
Riya Lester,1858,1382,8208,1508,499
Ellie Ramos,1611,6080,1864,6223,384
Keely Mooney,2506,4296,8317,6998,361
Abigail Benjamin,2724,5742,8392,5386,355
Blake Arroyo,2902,4480,8185,4772,412
Kayden Bailey,3298,5621,8271,5742,407
Arabella Cochran,3671,149,9206,149,338
Desirae Shields,6654,8111,1497,8139,493
Cortez Wolfe,5065,2087,378,1915,321
Kenna Burnett,4858,7004,9235,7262,407
Heather Hamilton,4979,3585,4508,3487,378
Talon Norris,6659,11271,11352,10549,653
Theodore Holder,6585,481,5357,481,407
Dillon Bates,6453,5466,10101,5977,418
Felix Lawrence,10411,3057,2736,2902,338
Riley Orr,14415,20650,10422,23645,613
Marlee Roman,19939,12585,1548,3476,476
Cristian Dawson,13686,14048,5822,12877,487
Clare Bright,17180,8489,11323,7881,424
Kamron Bridges,13336,21688,11323,20289,648
Jonah Baxter,19956,2254,12464,2632,395
Miranda Archer,15780,25727,11466,11908,562
Paisley Whitaker,15792,14524,917,21287,739
Laurel Meyers,9757,12700,9556,23495,665
Addyson Davis,11455,177,12889,172,349
Roger Larson,11151,9694,8472,16451,596
Howard Reese,9166,6160,1480,14530,430
Jorden Barrett,9585,12252,16400,22193,768
Litzy Wilson,137,579,516,1187,424
Jerry Peck,252,8736,6688,11541,1089
Rhett Hall,556,2701,12327,5248,458
Averi Ellison,803,8954,12333,15304,418
Sterling Blanchard,1135,1462,13813,3000,430
Kendal Ruiz,1290,8719,3533,13348,476
Ayla Andrews,1474,4830,10898,7113,430
Reese Nash,1267,8719,1835,10325,470
Kaley Fitzgerald,1869,894,8994,969,516
Araceli Lane,1979,5266,1938,5088,349
Jefferson Giles,2179,3338,7600,3407,315
Zaid Jenkins,2168,7835,7308,7526,229
Carissa Blair,2340,2460,7721,2512,326
Demarion Mcgee,2466,6785,7566,6579,263
Chana Hughes,2713,4382,7761,4468,361
Quinn Dunn,2868,9229,7738,8902,292
Kamryn Petersen,3745,280,2621,263,424
Michelle Hartman,3327,5346,8099,5231,332
Dante Washington,3390,2661,602,2587,298
Dakota Koch,3734,7600,4371,7709,2145
Phoenix Singh,3826,1646,2231,1847,458
Nathanael Monroe,4812,6568,4342,6344,349
Victoria Melton,4267,3923,4571,5220,430
Makenzie Rhodes,5013,9269,4830,9642,631
Cristopher Lynch,5420,602,13061,585,699
Brett Dyer,4950,5650,8948,5690,470
Precious Harmon,5019,5627,4640,3493,458
Juan Atkins,5334,8558,9321,8541,476
Joy Shea,6046,2397,2719,2346,447
Royce Reed,5719,7422,5047,7055,642
Emelia Cain,5960,4898,9505,4910,378
Marlie Velasquez,5042,9889,711,10147,436
Cecilia Conner,6711,1571,12189,1319,963
Keira Wilcox,6430,5237,395,5168,458
Mckinley Bray,6895,3051,10210,2902,579
Antoine Reid,6797,8598,3080,11725,493
Reed Fowler,7038,1898,10772,1726,654
Angelina Rodgers,14277,6963,1611,7267,631
Malachi Ramsey,9877,4520,3585,4279,573
Allen Garrett,7875,9883,8954,9677,923
Lawrence Tran,7864,1032,3321,935,544
Bryanna Miller,6768,6074,5466,5753,412
Elsa Gilbert,6946,3309,2736,3195,476
Lana Conway,7399,8220,6315,8168,464
Camila Hansen,7112,2317,5610,2265,527
Christina Mcneil,7417,7072,5541,7072,384
Lorena Parks,7153,4571,2827,5461,522
Ada Landry,7984,7646,5759,7617,355
Tara Stein,7703,659,1514,590,464
Karina Boyd,7761,5701,6057,6074,493
Roy Waller,8157,3040,871,3114,677
Valentino Spears,7772,7681,3091,7962,384
Jordyn Salas,9441,1892,3218,1806,562
Gavyn Lamb,7910,6682,5770,6625,366
Kaylin Johns,9436,7875,3372,4956,533
Milagros Everett,8925,13073,6774,9981,602
Deborah Henson,8208,1158,3057,1055,384
Lukas Wheeler,9350,6522,522,6120,596
Jazlynn Macias,8684,3556,3246,3407,395
Shayla Arnold,8587,8484,6218,8564,487
Gilberto Randolph,8392,2478,1606,2300,395
Taylor Mata,9522,7296,3241,8179,573
Damaris Bruce,8828,5013,6654,5013,327
Jett Jacobs,8914,9814,3327,9872,407
Jovanni Friedman,378,430,6981,493,533
Jadon Costa,384,5564,9178,5535,349
Perla Barnes,395,2575,7279,2885,906
Lucas Newton,424,8983,6808,7663,504
Shayna Shepherd,338,1342,1611,1319,315
Johnathan Bullock,676,6803,6992,6395,424
Kamden Mccullough,785,3745,3464,3780,321
Adrien Daugherty,774,9797,6889,9493,309
Ayanna Rasmussen,1147,860,3625,447,407
Makaila Hester,946,5971,7032,5988,487
Houston Valdez,2047,3591,998,3275,476
Marley Cardenas,1221,9051,7256,8713,458
Gia Hutchinson,1244,1904,6998,1996,378
Kassandra Boyle,1462,6998,7026,6837,367
Angelique Ball,1479,4554,7072,4583,401
Arnav Leon,1629,10009,7187,9487,384
Alvin Haas,1709,889,7480,969,235
Alexa Gibbs,1841,7147,7445,6785,309
Dominick Michael,1812,2701,3539,2707,327
Jaron Santana,2403,8145,7526,7898,384
Eva Church,1950,1302,7394,1399,327
Vincent Mayer,2128,6757,7531,6441,435
Stephanie Odonnell,2139,3900,1927,3877,349
Keyla Galloway,2374,9573,7531,9028,355
Blaine Phillips,2317,717,3837,682,401
Logan Nicholson,2437,6115,3831,6103,430
Keon Gallagher,2615,3602,3854,3315,464
Dean Gould,2558,8466,1944,8231,355
Noemi Chase,2753,2087,7864,2248,315
Tabitha Klein,3757,10411,8076,7531,430
Mikaela Bolton,4371,8438,11134,8661,699
Erin Allen,3109,10199,8053,9946,435
Ali Hawkins,3166,1325,4032,1279,246
Simon Richmond,3413,9665,4405,6189,527
Hunter Mcdaniel,3258,2615,8220,2696,344
Jabari Mcintosh,3487,7858,8237,7686,309
Junior Salinas,3562,1485,2082,1416,338
Sheldon Gonzales,4221,7267,9608,7279,590
Preston Stanton,3195,3711,1055,3843,418
Ashleigh Ellis,4474,17478,10491,10784,585
Emilia Henry,4118,1382,8702,1147,527
Amanda Bond,3986,5627,8782,5644,309
Lea Gibson,3837,3132,8380,3321,470
Justin Sheppard,4026,8730,4348,8283,435
Derek Frazier,4262,2019,8667,2168,327
Jazlyn Dorsey,4382,7325,8931,7353,441
Lamont Pitts,4411,4543,2242,4457,481
Cooper Miranda,4405,9918,4502,9596,338
Sam Sloan,5053,705,4738,676,344
Memphis Jordan,4669,5569,8891,5679,458
Josephine Cantrell,4772,3154,10394,3223,544
Kaden Maddox,4720,8105,4566,8042,269
Guadalupe Farley,4743,1600,8988,1680,263
Adrienne Weber,5340,7090,361,6476,550
Elisha Lutz,4927,4113,4652,3883,338
Adriel Humphrey,5409,8535,4835,8231,361
Corinne Lyons,5375,1388,4950,1256,436
Josiah Lopez,5501,6499,5036,6149,544
Kayla Hill,5518,3814,5013,3648,458
Haylee Strong,5701,8885,5569,8478,372
Jaxson Ayers,5598,2472,9608,2512,435
Semaj Meyer,5541,7606,4887,7348,413
Akira Hooper,5828,3849,5690,3797,332
Kyson Booth,5925,10428,9717,10090,470
Natalya Buchanan,5914,263,9786,298,384
Jessie Hines,6097,5174,9734,5237,361
Kristopher Weiss,6499,2615,785,2443,481
Alexus Newman,6332,8093,5420,8025,418
Taliyah Beck,6195,1474,9866,1554,361
Sofia Russell,6327,6413,2621,6304,464
Desmond Fletcher,6487,3866,5225,3855,326
Anthony Jackson,6734,9614,10864,9361,510
Julian Harrell,6940,837,2804,803,424
Iris Zavala,6028,6235,149,5988,636
