Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Rosette Zepeda,1158,3849,11363,5311,1066
Lino Sinkfield,3132,1967,1032,1933,699
Margarita Wehr,6344,5707,2168,6200,1434
Olga Paschke,1606,2764,2764,2093,946
Perla Rudd,4009,4256,3005,3849,608
Brandie Lara,2523,2219,3155,2156,441
Skye Mari,2053,1984,699,2294,177
Lawanna Parkinson,332,860,1560,837,258
Luanne Frances,739,1680,975,1468,206
Jacob Correa,1078,258,1904,246,246
Roxane Wolfe,160,2151,166,2128,206
Hoyt Weyant,1583,619,206,550,263
Eleonor Beecroft,1893,2030,1210,2466,372
Mickey Call,2294,1330,2873,1497,252
Myesha Duhaime,4818,2047,1422,2036,298
Hedy Aye,206,1101,1451,1112,315
Eartha Eaton,458,1388,1577,1353,292
Miyoko Augsburger,550,883,2002,917,326
Hilda Swearengin,321,2288,441,2455,338
Mikel Alvino,986,516,2386,539,367
Ceola Steidl,1141,1451,321,1439,349
Sal Ishee,1359,1043,2082,1049,206
Leland Lachance,1520,2352,2099,2317,235
Whitley Goulet,1640,344,2133,338,160
Bettyann Bone,2409,740,2306,717,200
Brook Merrick,1984,407,3625,430,682
Valery Mackenzie,2030,2042,1279,2047,189
Alice Knowles,2598,1783,1531,1789,217
Sanford Sagar,2019,1801,390,1858,263
Chau Orduno,2799,757,722,711,367
Cleotilde Littler,2386,2214,1961,2237,401
Buddy Purdom,412,172,843,154,378
Carly Doyon,309,1359,1961,1376,430
Ethyl Dunklin,401,849,1565,849,338
Tina Rosebrock,258,2764,826,1898,246
Jefferey Mcie,642,453,2168,430,258
Lorean Sharkey,510,1772,332,1692,269
Margert Choquette,717,1124,1858,1055,275
Kari Herren,3608,3969,1933,3992,350
Joann Atkins,986,349,2925,332,361
Alene Prentiss,2885,1961,1061,1594,269
Bridget Rickman,1049,1112,499,1124,493
Shakira Hakim,1170,2168,1927,2145,298
Irmgard Delagarza,1439,608,2013,952,292
Amina Sangster,1462,1290,1239,1273,286
Avelina Skidmore,1216,728,562,722,292
Abel Meadows,1514,68,2283,74,292
Twila Wess,1571,275,309,269,246
Dino Brabant,1646,1273,2156,1279,413
Elia Reuther,1818,797,1141,785,407
Glynda Ruth,1766,12120,607,1990,349
Loris Chesson,1944,499,1204,504,269
Kandi Iacovelli,1514,963,653,1640,349
Shirlee Moffatt,1118,590,378,1124,304
Maryln Malcolm,1153,1244,1302,2305,298
Shavon Goodwyn,1979,344,3378,367,384
Luanne Valls,1439,3045,149,1170,292
Rose Fouts,1267,694,843,550,315
Arleen Rosecrans,1164,1095,407,1066,350
Cristy Mock,1193,217,401,241,464
Dreama Cobey,1411,935,8696,1038,458
Margaret Strouth,1244,671,200,705,355
Gala Atencio,1227,1204,757,1181,418
Clifford Parent,143,109,430,114,527
Beryl Kraker,126,728,803,717,332
Florene Yamashiro,51,395,68,401,441
Nga Scheurer,114,1032,246,1015,275
Twana Cropp,246,269,854,286,292
Hortencia Mcleod,223,871,481,820,378
Rolanda Thibodeau,103,585,189,568,298
Tashia Farlow,281,1181,883,1152,292
Janell Cifuentes,361,183,900,200,286
Lucile Keppler,309,837,464,791,298
Vilma Roloff,281,476,263,481,235
Anamaria Jiggetts,390,1015,906,980,367
Karyn Honey,384,304,487,309,298
Verena Peper,372,900,263,894,281
Blake Craycraft,447,567,981,665,269
Temeka Cusimano,458,1210,1669,1204,292
Dotty Fludd,499,177,1003,160,2512
Katharine Sermons,481,751,303,774,326
Annie Rhodus,653,57,556,103,694
Belinda Gee,556,1044,1049,980,361
Rosenda Langenfeld,602,309,556,309,315
Luke Brownlow,613,929,1055,906,338
Pennie Fluker,602,567,1038,579,258
Merissa Pritt,613,1227,539,1221,367
Merilyn Sloop,814,183,327,212,332
Kizzie Parvin,699,808,1072,826,390
Mariano Forsberg,717,533,1135,550,332
Mira Selden,751,1112,567,1135,344
Perla Braud,774,349,1107,361,321
Edwin Salser,734,917,556,940,361
Tameika Wilton,516,613,166,659,315
Nickole Dysart,820,1187,1101,1216,298
Isaiah Oakley,848,109,631,109,309
Gita Woodbury,763,717,143,774,476
Torrie Frederickson,935,464,1233,453,332
Cherly Weber,894,969,648,1032,441
Bea Jepsen,952,126,631,68,395
